Project,Task ID,Task Name,Owner,Start Date,End Date,Status,Hours,Cost
Apollo,1,Requirements Gathering,Alice,02/01/2025,05/01/2025,Completed,12,1800
Apollo,2,Stakeholder Interviews,Bob,03/01/2025,06/01/2025,Completed,15,2250
Apollo,3,Define Scope,Carol,07/01/2025,10/01/2025,Completed,10,1500
Apollo,4,Design Draft,Alice,11/01/2025,15/01/2025,In Progress,20,3000
Apollo,5,UX Review,David,12/01/2025,16/01/2025,In Progress,18,2700
Apollo,6,Technical Architecture,Carol,16/01/2025,20/01/2025,Not Started,22,3300
Apollo,7,API Planning,Bob,18/01/2025,22/01/2025,Not Started,16,2400
Apollo,8,Security Assessment,Alice,20/01/2025,25/01/2025,In Progress,25,3750
Apollo,9,Backend Development,David,22/01/2025,02/02/2025,Not Started,40,6000
Apollo,10,Frontend Development,Carol,25/01/2025,05/02/2025,Not Started,38,5700
Zephyr,11,Project Kickoff,Alice,01/02/2025,02/02/2025,Completed,6,900
Zephyr,12,Requirements Workshop,Bob,03/02/2025,05/02/2025,Completed,14,2100
Zephyr,13,Data Modeling,Carol,06/02/2025,09/02/2025,In Progress,19,2850
Zephyr,14,UI Style Guide,David,07/02/2025,10/02/2025,In Progress,15,2250
Zephyr,15,Infrastructure Setup,Alice,10/02/2025,14/02/2025,Not Started,28,4200
Zephyr,16,Integration Planning,Bob,12/02/2025,17/02/2025,Not Started,22,3300
Zephyr,17,ETL Development,Carol,15/02/2025,28/02/2025,Not Started,45,6750
Zephyr,18,API Integration,David,18/02/2025,01/03/2025,Not Started,42,6300
Zephyr,19,System Testing,Alice,25/02/2025,05/03/2025,Not Started,30,4500
Zephyr,20,UAT Preparation,Bob,27/02/2025,06/03/2025,Not Started,20,3000
Orion,21,Initial Analysis,Carol,01/03/2025,03/03/2025,Completed,10,1500
Orion,22,Workflow Mapping,David,02/03/2025,05/03/2025,Completed,14,2100
Orion,23,Prototype Design,Alice,04/03/2025,08/03/2025,In Progress,22,3300
Orion,24,Backend Mockup,Bob,06/03/2025,10/03/2025,In Progress,18,2700
Orion,25,DevOps Setup,Carol,07/03/2025,12/03/2025,Not Started,26,3900
Orion,26,Logging & Monitoring,David,08/03/2025,15/03/2025,Not Started,30,4500
Orion,27,API Contracts,Alice,10/03/2025,14/03/2025,Not Started,16,2400
Orion,28,Database Setup,Bob,12/03/2025,17/03/2025,Not Started,25,3750
Orion,29,Security Config,Carol,15/03/2025,20/03/2025,Not Started,20,3000
Orion,30,Release Planning,David,18/03/2025,22/03/2025,Not Started,18,2700
Titan,31,Client Briefing,Alice,01/04/2025,02/04/2025,Completed,5,750
Titan,32,High-Level Scope,Bob,02/04/2025,04/04/2025,Completed,8,1200
Titan,33,Resource Planning,Carol,03/04/2025,06/04/2025,Completed,12,1800
Titan,34,Sprint Planning,David,05/04/2025,07/04/2025,Completed,14,2100
Titan,35,Component Design,Alice,07/04/2025,12/04/2025,In Progress,20,3000
Titan,36,API Strategy,Bob,10/04/2025,15/04/2025,In Progress,22,3300
Titan,37,Code Review Setup,Carol,12/04/2025,17/04/2025,Not Started,18,2700
Titan,38,Version Control Setup,David,14/04/2025,18/04/2025,Not Started,10,1500
Titan,39,QA Planning,Alice,15/04/2025,20/04/2025,Not Started,16,2400
Titan,40,Risk Assessment,Bob,16/04/2025,21/04/2025,Not Started,14,2100
Vega,41,User Research,Carol,01/05/2025,04/05/2025,Completed,12,1800
Vega,42,Persona Creation,David,02/05/2025,05/05/2025,Completed,10,1500
Vega,43,Journey Mapping,Alice,03/05/2025,06/05/2025,Completed,14,2100
Vega,44,Feature Prioritization,Bob,05/05/2025,08/05/2025,In Progress,18,2700
Vega,45,Wireframe Design,Carol,07/05/2025,12/05/2025,In Progress,20,3000
Vega,46,Storyboard Review,David,09/05/2025,13/05/2025,In Progress,12,1800
